Date,Platform,Content Type,Pillar,Service / Topic,Hook / Working Title,Caption Draft File,Creative Brief File,Visual Direction,Compliance Status,Approval Status,Notes
YYYY-MM-DD,Instagram,Reel,Education,Dental implants,"What happens if you ignore a missing tooth?",social/captions/,creative/briefs/,Team member explains on camera,Pending,Pending,
YYYY-MM-DD,Facebook,Photo post,Trust & Social Proof,Team / Practice,"Meet our hygienist — 12 years making cleanups feel comfortable",social/captions/,creative/briefs/,Team headshot + office background,Pending,Pending,
YYYY-MM-DD,TikTok,Video,Education,Whitening,"3 things that stain your teeth more than coffee",social/scripts/,creative/briefs/,On-screen text + product close-up,Pending,Pending,
YYYY-MM-DD,Instagram,Carousel,Service Demand,Veneers,"Veneers vs. bonding — which is right for you?",social/captions/,creative/briefs/,5-slide explainer with icons,Pending,Pending,
YYYY-MM-DD,GBP,What's New,Local Community,General,"Proud to serve [City] for X years",social/captions/,creative/briefs/,Practice exterior photo,Pending,Pending,
YYYY-MM-DD,Instagram,Story,Promotional,New patient offer,"New patient special — exam + X-rays for $X",social/captions/,creative/briefs/,Offer graphic with CTA sticker,Pending,Pending,
YYYY-MM-DD,Facebook,Long-form post,Education,Gum health,"5 signs your gums are trying to tell you something",social/captions/,creative/briefs/,Infographic or illustration,Pending,Pending,
YYYY-MM-DD,YouTube Shorts,Video,Service Demand,Root canal,"What a root canal actually feels like in 2026",social/scripts/,creative/briefs/,Dentist to camera explainer,Pending,Pending,
YYYY-MM-DD,Instagram,Reel,Team Personality,Team,"A day in the life at [Practice Name]",social/scripts/,creative/briefs/,BTS office footage,Pending,Pending,
YYYY-MM-DD,TikTok,Video,Education,Orthodontics,"Clear aligners vs. braces — dentist breaks it down",social/scripts/,creative/briefs/,Split-screen or talking head,Pending,Pending,
YYYY-MM-DD,Instagram,Carousel,Local Community,SE Florida,"Why we love serving the [City] community",social/captions/,creative/briefs/,Local photos or neighborhood art,Pending,Pending,
YYYY-MM-DD,Facebook,Photo post,Service Demand,Implants,"Missing a tooth? Here are your 3 options",social/captions/,creative/briefs/,Diagram or clean graphic,Pending,Pending,
YYYY-MM-DD,GBP,Offer,Promotional,New patient offer,"Book your new patient exam before [date]",social/captions/,creative/briefs/,Offer graphic,Pending,Pending,
YYYY-MM-DD,Instagram,Reel,Education,Emergency dentistry,"What to do if you knock out a tooth",social/scripts/,creative/briefs/,Dentist explains with urgency,Pending,Pending,
YYYY-MM-DD,TikTok,Video,Trust & Social Proof,Practice,"Why we chose dentistry — Dr. [Name] shares",social/scripts/,creative/briefs/,Dentist to camera personal story,Pending,Pending,
YYYY-MM-DD,Instagram,Photo post,Service Demand,Whitening,"Whiter teeth in one visit — yes, really",social/captions/,creative/briefs/,Smile close-up or before/after (auth required),Pending,Pending,Requires HIPAA auth if real patient
YYYY-MM-DD,Facebook,Video,Education,Preventive,"What happens at a dental cleaning — start to finish",social/scripts/,creative/briefs/,Procedure footage or illustration,Pending,Pending,
YYYY-MM-DD,Instagram,Story,Local Community,SE Florida,"Happy [local holiday / cultural moment]!",social/captions/,creative/briefs/,Branded festive graphic,Pending,Pending,
YYYY-MM-DD,GBP,What's New,Service Demand,Invisalign,"Now offering clear aligners — ask us at your next visit",social/captions/,creative/briefs/,Aligner product photo,Pending,Pending,
YYYY-MM-DD,Instagram,Carousel,Promotional,Year-end insurance,"Use your dental benefits before December 31",social/captions/,creative/briefs/,Calendar / countdown graphic,Pending,Pending,Seasonal — adjust month
